id,owner,region,status,delivered_at,total
140,ada,west,in_transit,,365.11
141,erin,east,delivered,2026-02-23 12:00:00,709.09
142,farid,south,in_transit,,648.21
143,brian,east,delivered,2026-07-22 06:00:00,843.86
144,hugo,west,in_transit,,897.1
145,ada,west,delivered,2026-01-06 04:00:00,669.41
146,hugo,north,delivered,2026-05-02 18:00:00,76.63
147,hugo,west,delivered,2026-07-31 16:00:00,239.95
148,carol,south,submitted,,495.08
149,hugo,north,delivered,2026-07-31 23:00:00,522.22
150,carol,south,submitted,,538.88
151,erin,south,submitted,,592.06
152,brian,north,delivered,2026-04-22 22:00:00,74.03
153,gwen,east,delivered,2026-05-30 06:00:00,216.77
154,erin,west,delivered,2026-01-03 17:00:00,268.02
155,dmitri,west,in_transit,,498.73
156,erin,north,delivered,2026-01-08 13:00:00,28.79
157,gwen,north,in_transit,,248.13
158,hugo,north,delivered,2026-04-05 07:00:00,656.66
159,gwen,south,delivered,2026-04-03 21:00:00,14.79
160,brian,south,in_transit,,470.24
161,dmitri,south,in_transit,,441.75
162,erin,north,in_transit,,895.22
163,carol,south,in_transit,,460.33
164,carol,west,delivered,2026-01-15 19:00:00,59.13
165,carol,west,submitted,,56.79
166,gwen,west,submitted,,845.14
167,brian,south,delivered,2026-07-07 03:00:00,315.19
168,hugo,north,submitted,,298.97
169,farid,west,delivered,2026-08-03 11:00:00,166.17
170,erin,north,submitted,,335.89
171,dmitri,west,delivered,2026-02-01 17:00:00,340.7
172,brian,north,delivered,2026-07-30 13:00:00,665.45
173,hugo,south,submitted,,309.66
174,gwen,south,delivered,2026-05-02 00:00:00,764.71
175,ada,west,delivered,2026-01-11 12:00:00,66.79
176,brian,east,delivered,2026-03-07 06:00:00,346.61
177,ada,east,in_transit,,703.81
178,ada,north,delivered,2026-03-12 09:00:00,31.1
179,hugo,west,in_transit,,897.07
180,erin,west,in_transit,,767.49
181,hugo,south,submitted,,16.61
182,carol,south,delivered,2026-03-19 22:00:00,313.85
183,farid,north,in_transit,,485.32
184,carol,south,in_transit,,388.33
185,farid,south,delivered,2026-05-04 17:00:00,921.61
186,brian,south,delivered,2026-01-19 08:00:00,98.32
187,hugo,south,in_transit,,226.65
188,dmitri,north,in_transit,,734.84
189,erin,east,in_transit,,355.92
190,dmitri,south,delivered,2026-02-20 14:00:00,237.03
191,dmitri,east,submitted,,68.87
192,dmitri,south,in_transit,,613.64
193,hugo,north,submitted,,103.82
194,dmitri,west,in_transit,,860.24
195,erin,south,submitted,,119.55
196,dmitri,north,submitted,,355.24
197,erin,north,delivered,2026-04-25 19:00:00,107.03
198,dmitri,north,delivered,2026-06-08 11:00:00,351.95
199,dmitri,east,submitted,,44.12
200,farid,west,delivered,2026-02-22 00:00:00,640.35
201,erin,north,submitted,,197.97
202,brian,west,delivered,2026-05-21 15:00:00,102.94
203,carol,north,in_transit,,616.82
204,erin,west,in_transit,,929.04
205,erin,east,delivered,2026-04-17 01:00:00,394.22
206,farid,south,submitted,,372.47
207,ada,west,in_transit,,848.37
208,brian,west,in_transit,,546.72
209,carol,south,in_transit,,22.32
210,brian,east,delivered,2026-06-14 12:00:00,695.25
211,farid,east,submitted,,159.23
212,brian,north,submitted,,365.95
213,erin,south,delivered,2026-07-22 06:00:00,788.44
214,hugo,east,submitted,,58.22
215,carol,south,delivered,2026-04-10 02:00:00,587.01
216,carol,south,delivered,2026-02-20 15:00:00,47.36
217,farid,north,delivered,2026-02-10 12:00:00,147.73
218,ada,north,delivered,2026-07-28 06:00:00,630.65
219,gwen,west,in_transit,,520.87
220,gwen,east,delivered,2026-03-20 20:00:00,551.21
221,farid,west,in_transit,,477.58
222,ada,west,submitted,,441.9
223,hugo,south,in_transit,,763.51
224,brian,south,in_transit,,342.51
225,hugo,north,in_transit,,46.37
226,farid,north,submitted,,59.05
227,carol,north,delivered,2026-04-07 20:00:00,806.86
228,brian,south,delivered,2026-07-07 22:00:00,131.1
229,dmitri,north,delivered,2026-03-15 05:00:00,784.47
230,farid,east,delivered,2026-03-06 05:00:00,851.57
231,erin,west,in_transit,,202.55
232,dmitri,east,in_transit,,355.27
233,gwen,south,submitted,,601.47
234,farid,west,in_transit,,165.68
235,ada,east,delivered,2026-01-30 16:00:00,908.47
236,brian,east,in_transit,,933.44
237,farid,east,delivered,2026-04-11 23:00:00,358.5
238,carol,east,in_transit,,316.67
239,dmitri,south,submitted,,581.72
240,erin,east,delivered,2026-03-17 16:00:00,603.95
